RSI_ENTRY,DIP_PCT,VOL_MULT,STOP_PCT,MAX_POSITIONS,SLEEVE_DD_CAP,sharpe,win_rate,max_dd,cagr,n,passed
28,0.05,2.0,0.06,3,0.2,-0.144,0.3,0.099,-0.012,10,0
28,0.06,1.5,0.04,2,0.1,0.649,0.538,0.103,0.063,13,0
28,0.06,1.5,0.04,2,0.15,-0.06,0.438,0.177,-0.014,16,0
28,0.06,1.5,0.04,2,0.2,-0.476,0.389,0.223,-0.063,18,0
28,0.06,1.5,0.04,3,0.1,-0.245,0.412,0.132,-0.026,17,0
28,0.06,1.5,0.04,3,0.15,-0.381,0.381,0.154,-0.042,21,0
28,0.06,1.5,0.04,3,0.2,-0.381,0.381,0.154,-0.042,21,0
28,0.06,1.5,0.05,2,0.1,0.251,0.5,0.115,0.02,12,0
28,0.06,1.5,0.05,2,0.15,0.311,0.533,0.141,0.032,15,0
28,0.06,1.5,0.05,2,0.2,0.311,0.533,0.141,0.032,15,0
28,0.06,1.5,0.05,3,0.1,0.143,0.5,0.119,0.009,18,0
28,0.06,1.5,0.05,3,0.15,0.143,0.5,0.119,0.009,18,0
28,0.06,1.5,0.05,3,0.2,0.143,0.5,0.119,0.009,18,0
28,0.06,1.5,0.06,2,0.1,0.192,0.455,0.115,0.014,11,0
28,0.06,1.5,0.06,2,0.15,0.266,0.5,0.141,0.026,14,0
28,0.06,1.5,0.06,2,0.2,0.266,0.5,0.141,0.026,14,0
28,0.06,1.5,0.06,3,0.1,0.1,0.471,0.119,0.005,17,0
28,0.06,1.5,0.06,3,0.15,0.1,0.471,0.119,0.005,17,0
28,0.06,1.5,0.06,3,0.2,0.1,0.471,0.119,0.005,17,0
28,0.06,1.8,0.04,2,0.1,-0.135,0.333,0.134,-0.016,12,0
28,0.06,1.8,0.04,2,0.15,-0.135,0.333,0.134,-0.016,12,0
28,0.06,1.8,0.04,2,0.2,-0.135,0.333,0.134,-0.016,12,0
28,0.06,1.8,0.04,3,0.1,-0.255,0.357,0.116,-0.021,14,0
28,0.06,1.8,0.04,3,0.15,-0.255,0.357,0.116,-0.021,14,0
28,0.06,1.8,0.04,3,0.2,-0.255,0.357,0.116,-0.021,14,0
28,0.06,1.8,0.05,2,0.1,0.142,0.4,0.11,0.009,10,0
28,0.06,1.8,0.05,2,0.15,0.142,0.4,0.11,0.009,10,0
28,0.06,1.8,0.05,2,0.2,0.142,0.4,0.11,0.009,10,0
28,0.06,1.8,0.05,3,0.1,-0.223,0.333,0.105,-0.02,12,0
28,0.06,1.8,0.05,3,0.15,-0.223,0.333,0.105,-0.02,12,0
28,0.06,1.8,0.05,3,0.2,-0.223,0.333,0.105,-0.02,12,0
28,0.06,1.8,0.06,2,0.1,0.299,0.444,0.105,0.023,9,0
28,0.06,1.8,0.06,2,0.15,0.299,0.444,0.105,0.023,9,0
28,0.06,1.8,0.06,2,0.2,0.299,0.444,0.105,0.023,9,0
28,0.06,1.8,0.06,3,0.1,-0.136,0.333,0.105,-0.013,12,0
28,0.06,1.8,0.06,3,0.15,-0.136,0.333,0.105,-0.013,12,0
28,0.06,1.8,0.06,3,0.2,-0.136,0.333,0.105,-0.013,12,0
28,0.06,2.0,0.04,2,0.1,-0.144,0.286,0.11,-0.013,7,0
28,0.06,2.0,0.04,2,0.15,-0.144,0.286,0.11,-0.013,7,0
28,0.06,2.0,0.04,2,0.2,-0.144,0.286,0.11,-0.013,7,0
28,0.06,2.0,0.04,3,0.1,-0.504,0.25,0.1,-0.031,8,0
28,0.06,2.0,0.04,3,0.15,-0.504,0.25,0.1,-0.031,8,0
28,0.06,2.0,0.04,3,0.2,-0.504,0.25,0.1,-0.031,8,0
28,0.06,2.0,0.05,2,0.1,0.457,0.429,0.11,0.034,7,0
28,0.06,2.0,0.05,2,0.15,0.457,0.429,0.11,0.034,7,0
28,0.06,2.0,0.05,2,0.2,0.457,0.429,0.11,0.034,7,0
28,0.06,2.0,0.05,3,0.1,0.021,0.375,0.099,-0.001,8,0
28,0.06,2.0,0.05,3,0.15,0.021,0.375,0.099,-0.001,8,0
28,0.06,2.0,0.05,3,0.2,0.021,0.375,0.099,-0.001,8,0
28,0.06,2.0,0.06,2,0.1,0.457,0.429,0.11,0.034,7,0
28,0.06,2.0,0.06,2,0.15,0.457,0.429,0.11,0.034,7,0
28,0.06,2.0,0.06,2,0.2,0.457,0.429,0.11,0.034,7,0
28,0.06,2.0,0.06,3,0.1,0.021,0.375,0.099,-0.001,8,0
28,0.06,2.0,0.06,3,0.15,0.021,0.375,0.099,-0.001,8,0
28,0.06,2.0,0.06,3,0.2,0.021,0.375,0.099,-0.001,8,0
30,0.04,1.5,0.04,2,0.1,0.69,0.579,0.103,0.074,19,0
30,0.04,1.5,0.04,2,0.15,0.037,0.5,0.177,-0.003,22,0
30,0.04,1.5,0.04,2,0.2,-0.346,0.458,0.222,-0.051,24,0
30,0.04,1.5,0.04,3,0.1,0.339,0.516,0.142,0.029,31,0
30,0.04,1.5,0.04,3,0.15,0.043,0.485,0.171,-0.001,33,0
30,0.04,1.5,0.04,3,0.2,-0.204,0.457,0.195,-0.027,35,0
30,0.04,1.5,0.05,2,0.1,-0.247,0.5,0.103,-0.021,8,0
30,0.04,1.5,0.05,2,0.15,0.258,0.565,0.141,0.027,23,0
30,0.04,1.5,0.05,2,0.2,0.258,0.565,0.141,0.027,23,0
30,0.04,1.5,0.05,3,0.1,0.314,0.552,0.132,0.027,29,0
30,0.04,1.5,0.05,3,0.15,0.057,0.516,0.135,0.0,31,0
30,0.04,1.5,0.05,3,0.2,0.057,0.516,0.135,0.0,31,0
30,0.04,1.5,0.06,2,0.1,-0.247,0.5,0.103,-0.021,8,0
30,0.04,1.5,0.06,2,0.15,0.24,0.565,0.141,0.024,23,0
30,0.04,1.5,0.06,2,0.2,0.24,0.565,0.141,0.024,23,0
30,0.04,1.5,0.06,3,0.1,0.224,0.536,0.132,0.017,28,0
30,0.04,1.5,0.06,3,0.15,-0.033,0.5,0.135,-0.009,30,0
30,0.04,1.5,0.06,3,0.2,-0.033,0.5,0.135,-0.009,30,0
30,0.04,1.8,0.04,2,0.1,0.475,0.529,0.106,0.039,17,0
30,0.04,1.8,0.04,2,0.15,0.475,0.529,0.106,0.039,17,0
30,0.04,1.8,0.04,2,0.2,0.475,0.529,0.106,0.039,17,0
30,0.04,1.8,0.04,3,0.1,0.395,0.478,0.097,0.028,23,0
30,0.04,1.8,0.04,3,0.15,0.395,0.478,0.097,0.028,23,0
30,0.04,1.8,0.04,3,0.2,0.395,0.478,0.097,0.028,23,0
30,0.04,1.8,0.05,2,0.1,0.255,0.5,0.113,0.019,16,0
30,0.04,1.8,0.05,2,0.15,0.255,0.5,0.113,0.019,16,0
30,0.04,1.8,0.05,2,0.2,0.255,0.5,0.113,0.019,16,0
30,0.04,1.8,0.05,3,0.1,0.186,0.476,0.083,0.012,21,0
30,0.04,1.8,0.05,3,0.15,0.186,0.476,0.083,0.012,21,0
30,0.04,1.8,0.05,3,0.2,0.186,0.476,0.083,0.012,21,0
30,0.04,1.8,0.06,2,0.1,0.36,0.5,0.113,0.029,16,0
30,0.04,1.8,0.06,2,0.15,0.36,0.5,0.113,0.029,16,0
30,0.04,1.8,0.06,2,0.2,0.36,0.5,0.113,0.029,16,0
30,0.04,1.8,0.06,3,0.1,0.452,0.476,0.083,0.034,21,0
30,0.04,1.8,0.06,3,0.15,0.452,0.476,0.083,0.034,21,0
30,0.04,1.8,0.06,3,0.2,0.452,0.476,0.083,0.034,21,0
30,0.04,2.0,0.04,2,0.1,-0.41,0.3,0.1,-0.029,10,0
30,0.04,2.0,0.04,2,0.15,-0.41,0.3,0.1,-0.029,10,0
30,0.04,2.0,0.04,2,0.2,-0.41,0.3,0.1,-0.029,10,0
30,0.04,2.0,0.04,3,0.1,-0.517,0.333,0.089,-0.04,15,0
30,0.04,2.0,0.04,3,0.15,-0.517,0.333,0.089,-0.04,15,0
30,0.04,2.0,0.04,3,0.2,-0.517,0.333,0.089,-0.04,15,0
30,0.04,2.0,0.05,2,0.1,0.193,0.455,0.091,0.012,11,0
30,0.04,2.0,0.05,2,0.15,0.193,0.455,0.091,0.012,11,0
30,0.04,2.0,0.05,2,0.2,0.193,0.455,0.091,0.012,11,0
30,0.04,2.0,0.05,3,0.1,-0.219,0.4,0.092,-0.02,15,0
30,0.04,2.0,0.05,3,0.15,-0.219,0.4,0.092,-0.02,15,0
30,0.04,2.0,0.05,3,0.2,-0.219,0.4,0.092,-0.02,15,0
30,0.04,2.0,0.06,2,0.1,0.469,0.455,0.091,0.035,11,0
30,0.04,2.0,0.06,2,0.15,0.469,0.455,0.091,0.035,11,0
30,0.04,2.0,0.06,2,0.2,0.469,0.455,0.091,0.035,11,0
30,0.04,2.0,0.06,3,0.1,-0.02,0.4,0.092,-0.005,15,0
30,0.04,2.0,0.06,3,0.15,-0.02,0.4,0.092,-0.005,15,0
30,0.04,2.0,0.06,3,0.2,-0.02,0.4,0.092,-0.005,15,0
30,0.05,1.5,0.04,2,0.1,0.936,0.533,0.103,0.094,15,1
30,0.05,1.5,0.04,2,0.15,0.192,0.444,0.177,0.015,18,0
30,0.05,1.5,0.04,2,0.2,-0.231,0.4,0.222,-0.034,20,0
30,0.05,1.5,0.04,3,0.1,0.025,0.44,0.142,-0.002,25,0
30,0.05,1.5,0.04,3,0.15,-0.298,0.407,0.17,-0.032,27,0
30,0.05,1.5,0.04,3,0.2,-0.567,0.379,0.195,-0.057,29,0
30,0.05,1.5,0.05,2,0.1,0.602,0.533,0.115,0.058,15,0
30,0.05,1.5,0.05,2,0.15,0.491,0.526,0.141,0.058,19,0
30,0.05,1.5,0.05,2,0.2,0.491,0.526,0.141,0.058,19,0
30,0.05,1.5,0.05,3,0.1,-0.029,0.478,0.132,-0.007,23,0
30,0.05,1.5,0.05,3,0.15,-0.302,0.44,0.135,-0.033,25,0
30,0.05,1.5,0.05,3,0.2,-0.302,0.44,0.135,-0.033,25,0
30,0.05,1.5,0.06,2,0.1,0.516,0.5,0.115,0.048,14,0
30,0.05,1.5,0.06,2,0.15,0.422,0.5,0.141,0.048,18,0
30,0.05,1.5,0.06,2,0.2,0.422,0.5,0.141,0.048,18,0
30,0.05,1.5,0.06,3,0.1,-0.133,0.455,0.132,-0.017,22,0
30,0.05,1.5,0.06,3,0.15,-0.406,0.417,0.135,-0.042,24,0
30,0.05,1.5,0.06,3,0.2,-0.406,0.417,0.135,-0.042,24,0
30,0.05,1.8,0.04,2,0.1,-0.256,0.308,0.106,-0.024,13,0
30,0.05,1.8,0.04,2,0.15,-0.256,0.308,0.106,-0.024,13,0
30,0.05,1.8,0.04,2,0.2,-0.256,0.308,0.106,-0.024,13,0
30,0.05,1.8,0.04,3,0.1,-0.264,0.312,0.098,-0.019,16,0
30,0.05,1.8,0.04,3,0.15,-0.264,0.312,0.098,-0.019,16,0
30,0.05,1.8,0.04,3,0.2,-0.264,0.312,0.098,-0.019,16,0
30,0.05,1.8,0.05,2,0.1,-0.251,0.364,0.1,-0.024,11,0
30,0.05,1.8,0.05,2,0.15,-0.392,0.333,0.112,-0.035,12,0
30,0.05,1.8,0.05,2,0.2,-0.392,0.333,0.112,-0.035,12,0
30,0.05,1.8,0.05,3,0.1,-0.179,0.333,0.101,-0.016,15,0
30,0.05,1.8,0.05,3,0.15,-0.179,0.333,0.101,-0.016,15,0
30,0.05,1.8,0.05,3,0.2,-0.179,0.333,0.101,-0.016,15,0
30,0.05,1.8,0.06,2,0.1,-0.038,0.308,0.118,-0.007,13,0
30,0.05,1.8,0.06,2,0.15,-0.038,0.308,0.118,-0.007,13,0
30,0.05,1.8,0.06,2,0.2,-0.038,0.308,0.118,-0.007,13,0
30,0.05,1.8,0.06,3,0.1,-0.371,0.286,0.091,-0.028,14,0
30,0.05,1.8,0.06,3,0.15,-0.371,0.286,0.091,-0.028,14,0
30,0.05,1.8,0.06,3,0.2,-0.371,0.286,0.091,-0.028,14,0
30,0.05,2.0,0.04,2,0.1,-0.664,0.2,0.104,-0.046,10,0
30,0.05,2.0,0.04,2,0.15,-0.664,0.2,0.104,-0.046,10,0
30,0.05,2.0,0.04,2,0.2,-0.664,0.2,0.104,-0.046,10,0
30,0.05,2.0,0.04,3,0.1,-1.151,0.167,0.098,-0.081,12,0
30,0.05,2.0,0.04,3,0.15,-1.151,0.167,0.098,-0.081,12,0
30,0.05,2.0,0.04,3,0.2,-1.151,0.167,0.098,-0.081,12,0
30,0.05,2.0,0.05,2,0.1,-0.184,0.3,0.108,-0.018,10,0
30,0.05,2.0,0.05,2,0.15,-0.184,0.3,0.108,-0.018,10,0
30,0.05,2.0,0.05,2,0.2,-0.184,0.3,0.108,-0.018,10,0
30,0.05,2.0,0.05,3,0.1,-0.8,0.25,0.101,-0.062,12,0
30,0.05,2.0,0.05,3,0.15,-0.8,0.25,0.101,-0.062,12,0
30,0.05,2.0,0.05,3,0.2,-0.8,0.25,0.101,-0.062,12,0
30,0.05,2.0,0.06,2,0.1,0.102,0.3,0.108,0.005,10,0
30,0.05,2.0,0.06,2,0.15,0.102,0.3,0.108,0.005,10,0
30,0.05,2.0,0.06,2,0.2,0.102,0.3,0.108,0.005,10,0
30,0.05,2.0,0.06,3,0.1,-0.586,0.25,0.1,-0.047,12,0
30,0.05,2.0,0.06,3,0.15,-0.586,0.25,0.1,-0.047,12,0
30,0.05,2.0,0.06,3,0.2,-0.586,0.25,0.1,-0.047,12,0
30,0.06,1.5,0.04,2,0.1,0.662,0.5,0.103,0.066,14,0
30,0.06,1.5,0.04,2,0.15,0.154,0.438,0.156,0.011,16,0
30,0.06,1.5,0.04,2,0.2,-0.438,0.368,0.223,-0.06,19,0
30,0.06,1.5,0.04,3,0.1,-0.255,0.409,0.144,-0.031,22,0
30,0.06,1.5,0.04,3,0.15,-0.348,0.4,0.161,-0.044,25,0
30,0.06,1.5,0.04,3,0.2,-0.348,0.4,0.161,-0.044,25,0
30,0.06,1.5,0.05,2,0.1,0.118,0.462,0.115,0.007,13,0
30,0.06,1.5,0.05,2,0.15,0.208,0.5,0.141,0.019,16,0
30,0.06,1.5,0.05,2,0.2,0.208,0.5,0.141,0.019,16,0
30,0.06,1.5,0.05,3,0.1,-0.075,0.476,0.119,-0.015,21,0
30,0.06,1.5,0.05,3,0.15,-0.075,0.476,0.119,-0.015,21,0
30,0.06,1.5,0.05,3,0.2,-0.075,0.476,0.119,-0.015,21,0
30,0.06,1.5,0.06,2,0.1,0.059,0.417,0.115,0.0,12,0
30,0.06,1.5,0.06,2,0.15,0.163,0.467,0.141,0.012,15,0
30,0.06,1.5,0.06,2,0.2,0.163,0.467,0.141,0.012,15,0
30,0.06,1.5,0.06,3,0.1,-0.275,0.412,0.123,-0.033,17,0
30,0.06,1.5,0.06,3,0.15,-0.261,0.421,0.136,-0.034,19,0
30,0.06,1.5,0.06,3,0.2,-0.261,0.421,0.136,-0.034,19,0
30,0.06,1.8,0.04,2,0.1,0.117,0.364,0.113,0.006,11,0
30,0.06,1.8,0.04,2,0.15,0.117,0.364,0.113,0.006,11,0
30,0.06,1.8,0.04,2,0.2,0.117,0.364,0.113,0.006,11,0
30,0.06,1.8,0.04,3,0.1,-0.119,0.357,0.105,-0.01,14,0
30,0.06,1.8,0.04,3,0.15,-0.119,0.357,0.105,-0.01,14,0
30,0.06,1.8,0.04,3,0.2,-0.119,0.357,0.105,-0.01,14,0
30,0.06,1.8,0.05,2,0.1,0.158,0.4,0.108,0.01,10,0
30,0.06,1.8,0.05,2,0.15,0.104,0.364,0.117,0.005,11,0
30,0.06,1.8,0.05,2,0.2,0.104,0.364,0.117,0.005,11,0
30,0.06,1.8,0.05,3,0.1,-0.237,0.333,0.106,-0.02,12,0
30,0.06,1.8,0.05,3,0.15,-0.237,0.333,0.106,-0.02,12,0
30,0.06,1.8,0.05,3,0.2,-0.237,0.333,0.106,-0.02,12,0
30,0.06,1.8,0.06,2,0.1,0.325,0.444,0.104,0.024,9,0
30,0.06,1.8,0.06,2,0.15,0.253,0.4,0.113,0.02,10,0
30,0.06,1.8,0.06,2,0.2,0.253,0.4,0.113,0.02,10,0
30,0.06,1.8,0.06,3,0.1,0.102,0.385,0.115,0.005,13,0
30,0.06,1.8,0.06,3,0.15,0.102,0.385,0.115,0.005,13,0
30,0.06,1.8,0.06,3,0.2,0.102,0.385,0.115,0.005,13,0
30,0.06,2.0,0.04,2,0.1,0.11,0.286,0.092,0.005,7,0
30,0.06,2.0,0.04,2,0.15,0.11,0.286,0.092,0.005,7,0
30,0.06,2.0,0.04,2,0.2,0.11,0.286,0.092,0.005,7,0
30,0.06,2.0,0.04,3,0.1,-0.359,0.25,0.089,-0.021,8,0
30,0.06,2.0,0.04,3,0.15,-0.359,0.25,0.089,-0.021,8,0
30,0.06,2.0,0.04,3,0.2,-0.359,0.25,0.089,-0.021,8,0
30,0.06,2.0,0.05,2,0.1,0.576,0.5,0.103,0.039,6,0
30,0.06,2.0,0.05,2,0.15,0.576,0.5,0.103,0.039,6,0
30,0.06,2.0,0.05,2,0.2,0.576,0.5,0.103,0.039,6,0
30,0.06,2.0,0.05,3,0.1,0.011,0.375,0.1,-0.001,8,0
30,0.06,2.0,0.05,3,0.15,0.011,0.375,0.1,-0.001,8,0
30,0.06,2.0,0.05,3,0.2,0.011,0.375,0.1,-0.001,8,0
30,0.06,2.0,0.06,2,0.1,0.576,0.5,0.103,0.039,6,0
30,0.06,2.0,0.06,2,0.15,0.576,0.5,0.103,0.039,6,0
30,0.06,2.0,0.06,2,0.2,0.576,0.5,0.103,0.039,6,0
30,0.06,2.0,0.06,3,0.1,0.011,0.375,0.1,-0.001,8,0
30,0.06,2.0,0.06,3,0.15,0.011,0.375,0.1,-0.001,8,0
30,0.06,2.0,0.06,3,0.2,0.011,0.375,0.1,-0.001,8,0
33,0.04,1.5,0.04,2,0.1,1.464,0.6,0.103,0.239,25,1
33,0.04,1.5,0.04,2,0.15,0.994,0.536,0.169,0.159,28,1
33,0.04,1.5,0.04,2,0.2,0.693,0.5,0.212,0.106,30,0
33,0.04,1.5,0.04,3,0.1,0.977,0.528,0.131,0.126,36,1
33,0.04,1.5,0.04,3,0.15,0.824,0.488,0.185,0.113,41,0
33,0.04,1.5,0.04,3,0.2,0.679,0.465,0.207,0.092,43,0
33,0.04,1.5,0.05,2,0.1,0.843,0.583,0.143,0.127,24,1
33,0.04,1.5,0.05,2,0.15,0.568,0.556,0.201,0.083,27,0
33,0.04,1.5,0.05,2,0.2,0.568,0.556,0.201,0.083,27,0
33,0.04,1.5,0.05,3,0.1,0.949,0.541,0.12,0.127,37,1
33,0.04,1.5,0.05,3,0.15,1.234,0.55,0.125,0.187,40,1
33,0.04,1.5,0.05,3,0.2,1.234,0.55,0.125,0.187,40,1
